ID,Response
50883,0.24473685
50884,0.16427796
50885,0.20634882
50886,0.18195404
50887,0.2349465
50888,0.18007699
50889,0.21375008
50890,0.520258
50891,0.277687
50892,0.2127961
50893,0.205807
50894,0.18610847
50895,0.30879924
50896,0.214265
50897,0.21209812
50898,0.14165975
50899,0.186744
50900,0.29976165
50901,0.12484528
50902,0.40304285
50903,0.15039176
50904,0.3553731
50905,0.34370366
50906,0.06092147
50907,0.2048335
50908,0.14409107
50909,0.214265
50910,0.2382127
50911,0.2958025
50912,0.21072881
50913,0.157713
50914,0.28572387
50915,0.13170758
50916,0.13357522
50917,0.5196117
50918,0.4130706
50919,0.30107367
50920,0.17867847
50921,0.13896382
50922,0.072802536
50923,0.02527111
50924,0.19501711
50925,0.2552458
50926,0.26993296
50927,0.5001615
50928,0.4261069
50929,0.2977278
50930,0.032189436
50931,0.124524385
50932,0.36671558
50933,0.20545018
50934,0.08098421
50935,0.29704386
50936,0.5722005
50937,0.42292598
50938,0.089015774
50939,0.30112666
50940,0.2670613
50941,0.42206663
50942,0.49124956
50943,0.17502114
50944,0.15875942
50945,0.2036102
50946,0.3112125
50947,0.23718014
50948,0.1799093
50949,0.16605738
50950,0.2885573
50951,0.25652197
50952,0.52620834
50953,0.4440015
50954,0.07702602
50955,0.07395145
50956,0.09218762
50957,0.11990521
50958,0.20831582
50959,0.054056134
50960,0.6124459
50961,0.06707538
50962,0.32185212
50963,0.3067925
50964,0.2809235
50965,0.35648468
50966,0.29101053
50967,0.33272547
50968,0.2696859
50969,0.1998373
50970,0.12991641
50971,0.24106799
50972,0.35025018
50973,0.040175803
50974,0.18518157
50975,0.25324342
50976,0.5855962
50977,0.13808195
50978,0.40062425
50979,0.21170837
50980,0.27562413
50981,0.09371112
50982,0.22287811
50983,0.31636894
50984,0.35274592
50985,0.29094675
50986,0.25925636
50987,0.15964061
50988,0.43207836
50989,0.050515898
50990,0.18140349
50991,0.09629742
50992,0.16282126
50993,0.1974539
50994,0.084957264
50995,0.10627942
50996,0.10091966
50997,0.14562665
50998,0.20897368
50999,0.04420557
51000,0.31035668
51001,0.1454772
51002,0.08517657
51003,0.6479292
51004,0.39986256
51005,0.13722469
51006,0.39594
51007,0.4480164
51008,0.652629
51009,0.1319508
51010,0.2128087
51011,0.17178187
51012,0.2385859
51013,0.41902503
51014,0.07606868
51015,0.320529
51016,0.067538716
51017,0.054058503
51018,0.24306948
51019,0.3309551
51020,0.4285953
51021,0.307235
51022,0.26082695
51023,0.23750241
51024,0.19758591
51025,0.29138505
51026,0.299139
51027,0.13959545
51028,0.23928583
51029,0.050277896
51030,0.21656404
51031,0.3680928
51032,0.29550546
51033,0.029229056
51034,0.25708172
51035,0.2977278
51036,0.20178424
51037,0.38981068
51038,0.28776997
51039,0.1660414
51040,0.3040547
51041,0.15916209
51042,0.34624574
51043,0.118184134
51044,0.56068766
51045,0.4022259
51046,0.17258196
51047,0.17210932
51048,0.04995271
51049,0.24622402
51050,0.5178058
51051,0.2896167
51052,0.5399962
51053,0.0897035
51054,0.04697338
51055,0.37318674
51056,0.13047746
51057,0.2564912
51058,0.24707682
51059,0.32120714
51060,0.31097403
51061,0.54581577
51062,0.7380792
51063,0.34150568
51064,0.35587314
51065,0.2149884
51066,0.46117696
51067,0.3199862
51068,0.20692582
51069,0.32585868
51070,0.05097705
51071,0.22570741
51072,0.18240534
51073,0.114677876
51074,0.23006253
51075,0.041730825
51076,0.107049264
51077,0.46727404
51078,0.1394729
51079,0.1899891
51080,0.33715928
51081,0.4515483
51082,0.15561277
51083,0.24976175
51084,0.14135772
51085,0.13303852
51086,0.44793233
51087,0.13862547
51088,0.07840435
51089,0.1454772
51090,0.16504313
51091,0.19601643
51092,0.071122676
51093,0.045888577
51094,0.19280945
51095,0.08212174
51096,0.1298396
51097,0.05026978
51098,0.24933806
51099,0.23278268
51100,0.4785635
51101,0.34464103
51102,0.3378453
51103,0.30539757
51104,0.07224479
51105,0.41189566
51106,0.15167864
51107,0.48822966
